name,location,founded,enrollment,nickname,wikipedia_url
Chaffey College,"Rancho Cucamonga (Main),Chino,Fontana",1883,21095,Panthers(IEC),en.wikipedia.org/wiki/Chaffey_College
Santa Barbara City College,Santa Barbara,1909,16835,Vaqueros(WSC),en.wikipedia.org/wiki/Santa_Barbara_City_College
Fresno City College,Fresno,1910,25563,Rams(CVC),en.wikipedia.org/wiki/Fresno_City_College
Bakersfield College,"Bakersfield (Main),Delano,Shafter",1913,31021,Renegades(WSC),en.wikipedia.org/wiki/Bakersfield_College
Fullerton College,Fullerton,1913,18572,Hornets(OEC),en.wikipedia.org/wiki/Fullerton_College
San Diego City College,San Diego,1914,13195,Knights(PCAC),en.wikipedia.org/wiki/San_Diego_City_College
Citrus College,Glendora,1915,10281,Fighting Owls(WSC),en.wikipedia.org/wiki/Citrus_College
Santa Ana College,Santa Ana,1915,36941,Dons(OEC),en.wikipedia.org/wiki/Santa_Ana_College
Riverside City College,Riverside,1916,21156,Tigers(OEC),en.wikipedia.org/wiki/Riverside_City_College
Sacramento City College,"Sacramento (Main),Davis,West Sacramento",1916,19034,Panthers(B8C),en.wikipedia.org/wiki/Sacramento_City_College
Santa Rosa Junior College,"Santa Rosa (Main),Petaluma,Windsor,Forestville",1918,22215,Bears Cubs(B8C),en.wikipedia.org/wiki/Santa_Rosa_Junior_College
Gavilan College,"Gilroy (Main),San José,Hollister,San Martin",1919,6580,Rams(CC),en.wikipedia.org/wiki/Gavilan_College
Allan Hancock College,"Santa Maria (Main),Lompoc,Santa Ynez",1920,12866,Bulldogs(WSC),en.wikipedia.org/wiki/Allan_Hancock_College
Hartnell College,"Salinas (Main),King City,Castroville,Soledad",1920,8557,Panthers(CC),en.wikipedia.org/wiki/Hartnell_College
Modesto Junior College,Modesto,1921,17444,Pirates(B8C),en.wikipedia.org/wiki/Modesto_Junior_College
San José City College,San José,1921,9032,Jaguars(CC),en.wikipedia.org/wiki/San_Jose_City_College
College of San Mateo,San Mateo,1922,9204,Bulldogs(CC),en.wikipedia.org/wiki/College_of_San_Mateo
Taft College,Taft,1922,3975,Cougars(CVC),en.wikipedia.org/wiki/Taft_College
Pasadena City College,Pasadena,1924,26522,Lancers(SCC),en.wikipedia.org/wiki/Pasadena_City_College
Lassen College,Susanville,1925,2028,Cougars,en.wikipedia.org/wiki/Lassen_College
Los Angeles Trade Technical College,Los Angeles,1925,13497,Beavers(SCC),en.wikipedia.org/wiki/Los_Angeles_Trade_Technical_College
Ventura College,Ventura,1925,11689,Pirates(WSC),en.wikipedia.org/wiki/Ventura_College
College of Marin,"Kentfield,Novato",1926,6186,Mariners(BVC),en.wikipedia.org/wiki/College_of_Marin
College of the Sequoias,"Visalia,Hanford,Tulare",1926,13978,Giants(CVC),en.wikipedia.org/wiki/College_of_the_Sequoias
Reedley College,Reedley,1926,8505,Tigers(CVC),en.wikipedia.org/wiki/Reedley_College
San Bernardino Valley College,San Bernardino,1926,13209,Wolverines(IEC),en.wikipedia.org/wiki/San_Bernardino_Valley_College
Compton College,Compton,1927,4918,Tartars(SCC),en.wikipedia.org/wiki/Compton_College
Glendale Community College,Glendale,1927,15885,Vaqueros(WSC),en.wikipedia.org/wiki/Glendale_Community_College_(California)
Long Beach City College,Long Beach,1927,26189,Vikings(SCC),en.wikipedia.org/wiki/Long_Beach_City_College
Porterville College,Porterville,1927,5055,Pirates(CVC),en.wikipedia.org/wiki/Porterville_College
Yuba College,"Marysville (Main),Yuba City",1927,5851,Forty-Niners(BVC),en.wikipedia.org/wiki/Yuba_College
Antelope Valley College,"Lancaster (Main),Palmdale",1929,13093,Marauders(WSC),en.wikipedia.org/wiki/Antelope_Valley_College
Los Angeles City College,Los Angeles,1929,17157,Cubs(SCC),en.wikipedia.org/wiki/Los_Angeles_City_College
Santa Monica College,"Santa Monica (Main),Los Angeles,Malibu",1929,26748,Corsairs(WSC),en.wikipedia.org/wiki/Santa_Monica_College
West Hills College Coalinga,Coalinga,1932,3690,Falcons(CVC),en.wikipedia.org/wiki/West_Hills_College_Coalinga
MiraCosta College,"Oceanside (Main),Cardiff,Carlsbad",1934,14308,Spartans(PCAC),en.wikipedia.org/wiki/MiraCosta_College
City College of San Francisco,San Francisco,1935,26519,Rams(CC),en.wikipedia.org/wiki/City_College_of_San_Francisco
San Joaquin Delta College,"Stockton (Main),Mountain House,Lodi,Manteca",1935,18226,Mustangs(B8C),en.wikipedia.org/wiki/San_Joaquin_Delta_College
Sierra College,"Rocklin (Main),Grass Valley,Truckee,Roseville",1936,17806,Wolverines(B8C),en.wikipedia.org/wiki/Sierra_College
Napa Valley College,"Napa (Main),St. Helena",1942,4326,The Storm(BVC),en.wikipedia.org/wiki/Napa_Valley_College
East Los Angeles College,Monterey Park,1945,32225,Huskies(SCC),en.wikipedia.org/wiki/East_Los_Angeles_College
Solano Community College,"Fairfield (Main),Vallejo,Vacaville,Travis Air Force Base",1945,8868,Falcons(BVC),en.wikipedia.org/wiki/Solano_Community_College
Contra Costa College,San Pablo,1946,6570,Comets(BVC),en.wikipedia.org/wiki/Contra_Costa_College
Mt. San Antonio College,Walnut,1946,38269,Mounties(SCC),en.wikipedia.org/wiki/Mt._San_Antonio_College
Palomar College,"San Marcos (Main),Escondido,Fallbrook,San Diego,Camp Pendleton,Ramona,San Marcos",1946,20126,Comets(PCAC),en.wikipedia.org/wiki/Palomar_College
El Camino College,Alondra Park,1947,21971,Warriors(SCC),en.wikipedia.org/wiki/El_Camino_College
Los Angeles Pierce College,Woodland Hills,1947,18081,Brahmas(WSC),en.wikipedia.org/wiki/Los_Angeles_Pierce_College
Monterey Peninsula College,"Monterey (Main),Seaside,Marina,",1947,7737,Lobos(CC),en.wikipedia.org/wiki/Monterey_Peninsula_College
Orange Coast College,Costa Mesa,1947,17646,Pirates(OEC),en.wikipedia.org/wiki/Orange_Coast_College
Palo Verde College,Blythe,1947,3605,Pirates(IEC),en.wikipedia.org/wiki/Palo_Verde_College
Diablo Valley College,"Pleasant Hill,San Ramon",1949,16504,Vikings(B8C),en.wikipedia.org/wiki/Diablo_Valley_College
Los Angeles Harbor College,Los Angeles,1949,9442,Seahawks(SCC),en.wikipedia.org/wiki/Los_Angeles_Harbor_College
Los Angeles Valley College,Los Angeles,1949,17642,Monarchs(WSC),en.wikipedia.org/wiki/Los_Angeles_Valley_College
Shasta College,"Redding (Main),Burney,Weaverville,Red Bluff,Redding",1950,8658,Knights(GVC),en.wikipedia.org/wiki/Shasta_College
Laney College,Oakland,1953,10265,Eagles(BVC),en.wikipedia.org/wiki/Laney_College
Merritt College,Oakland,1954,6818,Panthers(BVC),en.wikipedia.org/wiki/Merritt_College
American River College,"Sacramento (Main),Mather,McClellan",1955,29787,Beavers(B8C),en.wikipedia.org/wiki/American_River_College
Cerritos College,Norwalk,1955,22948,Falcons(SCC),en.wikipedia.org/wiki/Cerritos_College
College of the Siskiyous,"Weed (Main),Yreka",1957,1860,Eagles(GVC),en.wikipedia.org/wiki/College_of_the_Siskiyous
Foothill College,"Los Altos Hills (Main),Sunnyvale",1957,13945,Owls(CC),en.wikipedia.org/wiki/Foothill_College
College of the Desert,"Palm Desert (Main),Desert Hot Springs,Indio,Thermal,Palm Springs",1958,12123,Roadrunners(IEC),en.wikipedia.org/wiki/College_of_the_Desert
Barstow Community College,"Barstow (Main),Fort Irwin",1959,3514,Vikings(IEC),en.wikipedia.org/wiki/Barstow_Community_College
Cabrillo College,"Aptos (Main),Watsonville",1959,9968,Seahawks(CC),en.wikipedia.org/wiki/Cabrillo_College
Rio Hondo College,"Whittier (Main),Santa Fe Springs,El Monte,Pico Rivera",1960,18887,Roadrunners(SCC),en.wikipedia.org/wiki/Rio_Hondo_College
Chabot College,Hayward,1961,12519,Gladiators(CC),en.wikipedia.org/wiki/Chabot_College
Grossmont College,El Cajon,1961,13694,Griffins(PCAC),en.wikipedia.org/wiki/Grossmont_College
Southwestern College,"Chula Vista (Main),Coronado,National City,San Diego",1961,19638,Jaguars(PCAC),en.wikipedia.org/wiki/Southwestern_College_(California)
Victor Valley College,"Victorville (Main),Apple Valley,Hesperia",1961,16272,Rams(IEC),en.wikipedia.org/wiki/Victor_Valley_College
Imperial Valley College,Imperial,1962,8815,Desert Valley Warriors[4](PCAC),en.wikipedia.org/wiki/Imperial_Valley_College
Merced College,"Merced (Main),Los Banos",1962,12875,Blue Devils(CVC),en.wikipedia.org/wiki/Merced_College
Mt. San Jacinto College,"San Jacinto,Menifee,Banning,Temecula",1962,19040,Eagles(IEC),en.wikipedia.org/wiki/Mt._San_Jacinto_College
Cuesta College,"San Luis Obispo (Main),Paso Robles,Arroyo Grande",1963,11756,Cougars(WSC),en.wikipedia.org/wiki/Cuesta_College
San Diego Mesa College,San Diego,1963,19243,Olympians(PCAC),en.wikipedia.org/wiki/San_Diego_Mesa_College
West Valley College,Saratoga,1963,9283,Vikings(CC),en.wikipedia.org/wiki/West_Valley_College
College of the Redwoods,"Eureka (Main),Crescent City,Hoopa",1964,4719,Corsairs(GVC),en.wikipedia.org/wiki/College_of_the_Redwoods
Las Positas College,Livermore,1964,7605,Hawks(CC),en.wikipedia.org/wiki/Las_Positas_College
Golden West College,Huntington Beach,1965,11029,Rustlers(OEC),en.wikipedia.org/wiki/Golden_West_College
Ohlone College,"Fremont,Newark",1965,8716,Renegades(CC),en.wikipedia.org/wiki/Ohlone_College
Copper Mountain College,"Joshua Tree (Main),Twentynine Palms",1966,1705,Fighting Cacti(IEC),en.wikipedia.org/wiki/Copper_Mountain_College
Cypress College,Cypress,1966,14026,Chargers(OEC),en.wikipedia.org/wiki/Cypress_College
Butte College,"Oroville (Main),Chico,Orland",1967,11026,Roadrunners(GVC),en.wikipedia.org/wiki/Butte_College
De Anza College,Cupertino,1967,17189,Mountain Lions(CC),en.wikipedia.org/wiki/De_Anza_College
Los Angeles Southwest College,Los Angeles,1967,6053,Cougars(SCC),en.wikipedia.org/wiki/Los_Angeles_Southwest_College
Moorpark College,Moorpark,1967,14147,Raiders(WSC),en.wikipedia.org/wiki/Moorpark_College
Cañada College,Redwood City,1968,6144,Colts(CC),en.wikipedia.org/wiki/Canada_College
College of Alameda,Alameda,1968,5856,Cougars(BVC),en.wikipedia.org/wiki/College_of_Alameda
Columbia College,Sonora,1968,2743,Claim Jumpers(CVC),en.wikipedia.org/wiki/Columbia_College_(California)
Feather River College,Quincy,1968,1767,Golden Eagles(CVC),en.wikipedia.org/wiki/Feather_River_College
Saddleback College,Mision Viejo,1968,24778,Bobcats(OEC),en.wikipedia.org/wiki/Saddleback_College
College of the Canyons,"Santa Clarita (Main),Castaic",1969,19780,Cougars(WSC),en.wikipedia.org/wiki/College_of_the_Canyons
San Diego Miramar College,San Diego,1969,13555,Jets(PCAC),en.wikipedia.org/wiki/San_Diego_Miramar_College
Skyline College,San Bruno,1969,9433,Trojans(CC),en.wikipedia.org/wiki/Skyline_College
West Los Angeles College,Culver City,1969,9955,Wildcats(WSC),en.wikipedia.org/wiki/West_Los_Angeles_College
Cosumnes River College,"Sacramento (Main),Elk Grove",1970,14991,Hawks(B8C),en.wikipedia.org/wiki/Cosumnes_River_College
Crafton Hills College,Yucaipa,1972,6148,Roadrunner(IEC),en.wikipedia.org/wiki/Crafton_Hills_College
Cerro Coso Community College,"Ridgecrest (Main),Bishop,Mammoth Lakes,Tehachapi,Edwards Air Force Base,Lake Isabella",1973,5755,Coyotes(IEC),en.wikipedia.org/wiki/Cerro_Coso_Community_College
Mendocino College,"Ukiah (Main),Lakeport,Willits,Fort Bragg",1973,4924,Eagles(BVC),en.wikipedia.org/wiki/Mendocino_College
Berkeley City College,Berkeley,1974,6664,Knights(GVC),en.wikipedia.org/wiki/Berkeley_City_College
Los Medanos College,"Pittsburg (Main),Brentwood",1974,8358,Mustang(BVC),en.wikipedia.org/wiki/Los_Medanos_College
Evergreen Valley College,San José,1975,9239,Hawks(CC),en.wikipedia.org/wiki/Evergreen_Valley_College
Lake Tahoe Community College,South Lake Tahoe,1975,3945,Coyotes(GVC),en.wikipedia.org/wiki/Lake_Tahoe_Community_College
Los Angeles Mission College,Los Angeles,1975,11865,Eagles(WSC),en.wikipedia.org/wiki/Los_Angeles_Mission_College
Mission College,Santa Clara,1975,7157,Saints(CC),en.wikipedia.org/wiki/Mission_College_(California)
Oxnard College,Oxnard,1975,7141,Condors(WSC),en.wikipedia.org/wiki/Oxnard_College
Coastline Community College,"Garden Grove,Newport Beach,Westminster,Fountain Valley",1976,9783,Dolphins[5][a],en.wikipedia.org/wiki/Coastline_Community_College
Cuyamaca College,El Cajon,1978,8438,Coyotes(PCAC),en.wikipedia.org/wiki/Cuyamaca_College
Irvine Valley College,Irvine,1979,15506,Lasers(OEC),en.wikipedia.org/wiki/Irvine_Valley_College
Santiago Canyon College,Orange,1985,18040,Hawks(OEC),en.wikipedia.org/wiki/Santiago_Canyon_College
Norco College,Norco,1991,11003,Mustangs(IEC),en.wikipedia.org/wiki/Norco_College
West Hills College Lemoore,Lemoore,2002,4245,Golden Eagles(CVC),en.wikipedia.org/wiki/West_Hills_College_Lemoore
Folsom Lake College,"Folsom (Main),Placerville,Rancho Cordova",2004,10223,Falcons(B8C),en.wikipedia.org/wiki/Folsom_Lake_College
Clovis Community College,"Fresno (Main),Clovis",2007,9106,Clovis Crush(CVC),en.wikipedia.org/wiki/Clovis_Community_College_(California)
Woodland Community College,"Woodland (Main),Clearlake,Williams",2008,3844,Eagles(BVC),en.wikipedia.org/wiki/Woodland_Community_College
Moreno Valley College,"Moreno Valley (Main),Riverside",2010,10115,Lions[6][a],en.wikipedia.org/wiki/Moreno_Valley_College
Calbright College,Online,2018,2279,[a],en.wikipedia.org/wiki/Calbright_College
Madera Community College,Madera,2020,5951,Mountain Lions(CVC),en.wikipedia.org/wiki/Madera_Community_College
