ipeds_id,name,address,city,state,zip,telephone,county,country,naics_code,naics_des,website,location,founded,nickname,wikipedia_url
108807,Allan Hancock College,800 South College Drive,Santa Maria,CA,93454,(805) 922-6966,Santa Barbara,USA,611210,JUNIOR COLLEGES,www.hancockcollege.edu/,"Santa Maria (Main),Lompoc,Santa Ynez",1920,Bulldogs(WSC),en.wikipedia.org/wiki/Allan_Hancock_College
109208,American River College,4700 College Oak Dr,Sacramento,CA,95841,(916) 484-8011,Sacramento,USA,611210,JUNIOR COLLEGES,https://www.arc.losrios.edu/,"Sacramento (Main),Mather,McClellan",1955,Beavers(B8C),en.wikipedia.org/wiki/American_River_College
109350,Antelope Valley College,3041 West Ave K,Lancaster,CA,93536,(661) 722-6300,Los Angeles,USA,611210,JUNIOR COLLEGES,www.avc.edu/,"Lancaster (Main),Palmdale",1929,Marauders(WSC),en.wikipedia.org/wiki/Antelope_Valley_College
109819,Bakersfield College,1801 Panorama Dr,Bakersfield,CA,93305,(661) 395-4011,Kern,USA,611210,JUNIOR COLLEGES,www.bakersfieldcollege.edu/,"Bakersfield (Main),Delano,Shafter",1913,Renegades(WSC),en.wikipedia.org/wiki/Bakersfield_College
109907,Barstow Community College,2700 Barstow Road,Barstow,CA,92311,(760) 252-2411,San Bernardino,USA,611210,JUNIOR COLLEGES,www.barstow.edu/,"Barstow (Main),Fort Irwin",1959,Vikings(IEC),en.wikipedia.org/wiki/Barstow_Community_College
125170,Berkeley City College,2050 Center Sreet,Berkeley,CA,94704,(510) 981-2800,Alameda,USA,611210,JUNIOR COLLEGES,www.berkeleycitycollege.edu/wp/,Berkeley,1974,Knights(GVC),en.wikipedia.org/wiki/Berkeley_City_College
110246,Butte College,3536 Butte Campus Drive,Oroville,CA,95965,(530) 895-2511,Butte,USA,611210,JUNIOR COLLEGES,www.butte.edu/,"Oroville (Main),Chico,Orland",1967,Roadrunners(GVC),en.wikipedia.org/wiki/Butte_College
110334,Cabrillo College,6500 Soquel Dr,Aptos,CA,95003,(831) 479-6100,Santa Cruz,USA,611210,JUNIOR COLLEGES,www.cabrillo.edu/,"Aptos (Main),Watsonville",1959,Seahawks(CC),en.wikipedia.org/wiki/Cabrillo_College
111434,Canada College,4200 Farm Hill Blvd.,Redwood City,CA,94061,(650) 306-3100,San Mateo,USA,611210,JUNIOR COLLEGES,canadacollege.edu/,Redwood City,1968,Colts(CC),en.wikipedia.org/wiki/Canada_College
111887,Cerritos College,11110 Alondra Blvd,Norwalk,CA,90650,(562) 860-2451,Los Angeles,USA,611210,JUNIOR COLLEGES,www.cerritos.edu/,Norwalk,1955,Falcons(SCC),en.wikipedia.org/wiki/Cerritos_College
111896,Cerro Coso Community College,3000 College Heights Blvd,Ridgecrest,CA,93555,(760) 384-6100,Kern,USA,611210,JUNIOR COLLEGES,cerrocoso.edu/,"Ridgecrest (Main),Bishop,Mammoth Lakes,Tehachapi,Edwards Air Force Base,Lake Isabella",1973,Coyotes(IEC),en.wikipedia.org/wiki/Cerro_Coso_Community_College
111920,Chabot College,25555 Hesperian Blvd,Hayward,CA,94545,(510) 723-6600,Alameda,USA,611210,JUNIOR COLLEGES,www.chabotcollege.edu/,Hayward,1961,Gladiators(CC),en.wikipedia.org/wiki/Chabot_College
111939,Chaffey College,5885 Haven Ave,Rancho Cucamonga,CA,91737,(909) 652-6000,San Bernardino,USA,611210,JUNIOR COLLEGES,https://www.chaffey.edu/,"Rancho Cucamonga (Main),Chino,Fontana",1883,Panthers(IEC),en.wikipedia.org/wiki/Chaffey_College
112172,Citrus College,1000 W Foothill Blvd,Glendora,CA,91741,(626) 963-0323,Los Angeles,USA,611210,JUNIOR COLLEGES,https://www.citruscollege.edu/,Glendora,1915,Fighting Owls(WSC),en.wikipedia.org/wiki/Citrus_College
112190,City College Of San Francisco,50 Frida Kahlo Drive,San Francisco,CA,94112,(415) 239-3000,San Francisco,USA,611210,JUNIOR COLLEGES,www.ccsf.edu/,San Francisco,1935,Rams(CC),en.wikipedia.org/wiki/City_College_of_San_Francisco
489201,Clovis Community College,10309 North Willow Avenue,Fresno,CA,93730,(559) 325-5200,Fresno,USA,611210,JUNIOR COLLEGES,www.cloviscollege.edu/,"Fresno (Main),Clovis",2007,Clovis Crush(CVC),en.wikipedia.org/wiki/Clovis_Community_College_(California)
108667,College Of Alameda,555 Ralph Appezzato Memorial Pky,Alameda,CA,94501,(510) 522-7221,Alameda,USA,611210,JUNIOR COLLEGES,alameda.peralta.edu/,Alameda,1968,Cougars(BVC),en.wikipedia.org/wiki/College_of_Alameda
118347,College Of Marin,835 College Ave,Kentfield,CA,94904,(415) 457-8811,Marin,USA,611210,JUNIOR COLLEGES,www.marin.edu/,"Kentfield,Novato",1926,Mariners(BVC),en.wikipedia.org/wiki/College_of_Marin
122791,College Of San Mateo,1700 W Hillsdale Blvd,San Mateo,CA,94402,(650) 574-6161,San Mateo,USA,611210,JUNIOR COLLEGES,www.collegeofsanmateo.edu/,San Mateo,1922,Bulldogs(CC),en.wikipedia.org/wiki/College_of_San_Mateo
111461,College Of The Canyons,26455 Rockwell Canyon Rd,Santa Clarita,CA,91355,(661) 259-7800,Los Angeles,USA,611210,JUNIOR COLLEGES,www.canyons.edu/,"Santa Clarita (Main),Castaic",1969,Cougars(WSC),en.wikipedia.org/wiki/College_of_the_Canyons
113573,College Of The Desert,43-500 Monterey Ave,Palm Desert,CA,92260,(760) 346-8041,Riverside,USA,611210,JUNIOR COLLEGES,www.collegeofthedesert.edu/,"Palm Desert (Main),Desert Hot Springs,Indio,Thermal,Palm Springs",1958,Roadrunners(IEC),en.wikipedia.org/wiki/College_of_the_Desert
121707,College Of The Redwoods,7351 Tompkins Hill Rd,Eureka,CA,95501,(707) 476-4100,Humboldt,USA,611210,JUNIOR COLLEGES,www.redwoods.edu/,"Eureka (Main),Crescent City,Hoopa",1964,Corsairs(GVC),en.wikipedia.org/wiki/College_of_the_Redwoods
123217,College Of The Sequoias,915 S. Mooney Blvd,Visalia,CA,93277,(559) 730-3700,Tulare,USA,611210,JUNIOR COLLEGES,www.cos.edu/,"Visalia,Hanford,Tulare",1926,Giants(CVC),en.wikipedia.org/wiki/College_of_the_Sequoias
123484,College Of The Siskiyous,800 College Ave,Weed,CA,96094,(530) 938-5555,Siskiyou,USA,611210,JUNIOR COLLEGES,www.siskiyous.edu/,"Weed (Main),Yreka",1957,Eagles(GVC),en.wikipedia.org/wiki/College_of_the_Siskiyous
112561,Columbia College,11600 Columbia College Dr,Sonora,CA,95370,(209) 588-5100,Tuolumne,USA,611210,JUNIOR COLLEGES,www.gocolumbia.edu/,Sonora,1968,Claim Jumpers(CVC),en.wikipedia.org/wiki/Columbia_College_(California)
112686,Compton College,1111 East Artesia Blvd.,Compton,CA,90221,(310) 900-1600,Los Angeles,USA,611210,JUNIOR COLLEGES,www.compton.edu/,Compton,1927,Tartars(SCC),en.wikipedia.org/wiki/Compton_College
112826,Contra Costa College,2600 Mission Bell Dr,San Pablo,CA,94806,(510) 235-7800,Contra Costa,USA,611210,JUNIOR COLLEGES,https://www.contracosta.edu/,San Pablo,1946,Comets(BVC),en.wikipedia.org/wiki/Contra_Costa_College
113096,Cosumnes River College,8401 Center Parkway,Sacramento,CA,95823,(916) 688-7344,Sacramento,USA,611210,JUNIOR COLLEGES,https://www.crc.losrios.edu/,"Sacramento (Main),Elk Grove",1970,Hawks(B8C),en.wikipedia.org/wiki/Cosumnes_River_College
113111,Crafton Hills College,11711 Sand Canyon Road,Yucaipa,CA,92339,(909) 794-2161,San Bernardino,USA,611210,JUNIOR COLLEGES,www.craftonhills.edu/,Yucaipa,1972,Roadrunner(IEC),en.wikipedia.org/wiki/Crafton_Hills_College
113193,Cuesta College,Highway 1,San Luis Obispo,CA,93403,(805) 546-3100,San Luis Obispo,USA,611210,JUNIOR COLLEGES,https://www.cuesta.edu/,"San Luis Obispo (Main),Paso Robles,Arroyo Grande",1963,Cougars(WSC),en.wikipedia.org/wiki/Cuesta_College
113218,Cuyamaca College,900 Rancho San Diego Pky,El Cajon,CA,92019,(619) 660-4000,San Diego,USA,611210,JUNIOR COLLEGES,https://www.cuyamaca.edu/,El Cajon,1978,Coyotes(PCAC),en.wikipedia.org/wiki/Cuyamaca_College
113236,Cypress College,9200 Valley View,Cypress,CA,90630,(714) 484-7000,Orange,USA,611210,JUNIOR COLLEGES,www.cypresscollege.edu/,Cypress,1966,Chargers(OEC),en.wikipedia.org/wiki/Cypress_College
